Organism/Name	TaxID	BioProject Accession	BioProject ID	Phyla	Genus	Size (Mb)	GC%	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession	Assembly Accession
Nitrosospira multiformis ATCC 25196	323848	PRJNA13912	13912	Proteobacteria	Betaproteobacteria	3.23431	53.835	2876	2805	2005/11/15	2010/03/05	Complete	DOE Joint Genome Institute	0	GCA_000196355.1
Staphylococcus aureus subsp. aureus TW20	663951	PRJEA36647	36647	Firmicutes	Bacilli	3.07581	32.7972	2981	2806	2009/11/25	2012/06/19	Complete	The Wellcome Trust Sanger Institute	0	GCA_000027045.1
Brachyspira murdochii DSM 12563	526224	PRJNA29543	29543	Spirochaetes	Spirochaetia	3.2418	27.8	2894	2809	2010/05/13	2012/12/23	Complete	US DOE Joint Genome Institute (JGI-PGF)	SRS002077	GCA_000092845.1
Chthonomonas calidirosea T49	1303518	PRJEB1573	207044	Armatimonadetes	Chthonomonadetes	3.43786	54.6	2929	2809	2013/06/04	2013/07/12	Complete	GNS	0	GCA_000427095.1
Listeria monocytogenes 10403S	393133	PRJNA17495	17495	Firmicutes	Bacilli	2.90311	38	2910	2814	2011/09/07	2013/06/08	Complete	Broad Institute	0	GCA_000168695.2
Methanoregula formicica SMSP	593750	PRJNA63567	63567	Euryarchaeota	Methanomicrobia	2.82086	55.2	2924	2816	2012/12/21	2013/07/17	Complete	DOE Joint Genome Institute	SAMN02232038	GCA_000327485.1
Clavibacter michiganensis subsp. nebraskensis NCPPB 2581	1097677	PRJEA74519	74519	Actinobacteria	Actinobacteria	3.0636	73	2936	2817	2013/04/01	2013/06/10	Complete	Department of Microbiology, University of Bielefeld	0	GCA_000355695.1
Natronomonas pharaonis DSM 2160	348780	PRJNA15742	15742	Euryarchaeota	Halobacteria	2.7497	63.0807	2892	2820	2005/09/28	2013/03/21	Complete	Max Planck Institute	0	GCA_000026045.1
Listeria monocytogenes L312	882094	PRJEA51857	51857	Firmicutes	Bacilli	2.91235	38.1	2906	2821	2012/09/10	2013/06/09	Complete	ERA-NET / Spatelis	0	GCA_000307085.1
Listeria monocytogenes serotype 4b str. F2365	265669	PRJNA85	85	Firmicutes	Bacilli	2.90519	38	2934	2821	2001/08/28	2013/05/23	Complete	TIGR	0	GCA_000008285.1
Pyrobaculum sp. 1860	1104324	PRJNA74711	74711	Crenarchaeota	Thermoprotei	2.46797	57	2888	2824	2011/11/10	2013/06/08	Complete	Centre Bioengineering RAS	0	GCA_000234805.1
Thermacetogenium phaeum DSM 12270	1089553	PRJNA168373	168373	Firmicutes	Clostridia	2.93906	53.9	2897	2824	2012/10/17	2013/06/09	Complete	Georg-August-University Goettingen, Genomic and Applied Microbiology, Goettingen Genomics Laboratory	0	GCA_000305935.1
Sulfolobus tokodaii str. 7	273063	PRJNA246	246	Crenarchaeota	Thermoprotei	2.69476	32.8	2875	2826	2001/10/04	2013/05/23	Complete	NITE	0	GCA_000011205.1
Listeria monocytogenes SLCC7179	879090	PRJEA51733	51733	Firmicutes	Bacilli	2.88223	38	2911	2826	2012/09/10	2013/06/09	Complete	ERA-NET / Spatelis	0	GCA_000306985.1
Acidithiobacillus ferrooxidans ATCC 53993	380394	PRJNA16689	16689	Proteobacteria	Gammaproteobacteria	2.88504	58.9	2959	2826	2008/09/05	2013/06/10	Complete	US DOE Joint Genome Institute	0	GCA_000020825.1
Thiobacillus denitrificans ATCC 25259	292415	PRJNA13025	13025	Proteobacteria	Betaproteobacteria	2.90981	66.1	2879	2827	2005/09/01	2013/05/23	Complete	DOE Joint Genome Institute	0	GCA_000012745.1
Lactobacillus rhamnosus LOCK900	1316933	PRJNA196481	196481	Firmicutes	Bacilli	2.88338	46.8	2901	2827	2013/07/08	2013/07/12	Complete	IBB PAS	0	GCA_000418475.1
Anoxybacillus flavithermus WK1	491915	PRJNA28245	28245	Firmicutes	Bacilli	2.84675	41.8	2954	2831	2008/11/13	2012/12/23	Complete	University of Hawaii at Manoa	0	GCA_000019045.1
Xylella fastidiosa 9a5c	160492	PRJNA271	271	Proteobacteria	Gammaproteobacteria	2.73175	52.6433	2905	2832	2000/06/02	2013/06/10	Complete	Sao Paulo state (Brazil) Consortium	0	GCA_000006725.1
Thermobaculum terrenum ATCC BAA-798	525904	PRJNA29523	29523	unclassified Bacteria	Thermobaculum	3.10158	53.5397	2933	2832	2009/11/23	2012/12/23	Complete	US DOE Joint Genome Institute (JGI-PGF)	0	GCA_000025005.1
Salinibacter ruber DSM 13855	309807	PRJNA16159	16159	Bacteroidetes/Chlorobi 	Bacteroidetes	3.58733	66.1179	2898	2833	2005/12/20	2013/07/04	Complete	TIGR	0	GCA_000013045.1
Lactobacillus rhamnosus GG	568703	PRJDA40637	40637	Firmicutes	Bacilli	3.00505	46.7	2905	2834	2009/09/26	2013/06/08	Complete	University of Tokyo	0	GCA_000011045.1
Pyrobaculum oguniense TE7	698757	PRJNA42375	42375	Crenarchaeota	Thermoprotei	2.45292	55.069	3014	2835	2012/02/10	2012/06/13	Complete	UCSC-Lowelab	0	GCA_000247545.1
Alkaliphilus oremlandii OhILAs	350688	PRJNA16083	16083	Firmicutes	Clostridia	3.12356	36.3	2990	2836	2007/10/11	2012/01/24	Complete	US DOE Joint Genome Institute	0	GCA_000018325.1
Cyanobacterium stanieri PCC 7202	292563	PRJNA39697	39697	Cyanobacteria	Oscillatoriophycideae	3.16338	38.7	2941	2837	2012/12/07	2013/06/10	Complete	DOE Joint Genome Institute	SAMN02232010	GCA_000317655.1
Rhodothermus marinus SG0.5JP17-172	762570	PRJNA56095	56095	Bacteroidetes/Chlorobi 	Bacteroidetes	3.33412	64.2484	2968	2838	2011/08/31	2011/09/01	Complete	JGI	SAMN02261379	GCA_000224745.1
Listeria monocytogenes serotype 4b str. LL195	1230340	PRJEB418	179063	Firmicutes	Bacilli	2.90466	38	3056	2838	2012/11/21	2013/06/11	Complete	University of Vienna	0	GCA_000318055.1
Melioribacter roseus P3M-2	1191523	PRJNA165865	165865	Bacteroidetes/Chlorobi 	Ignavibacteriae	3.30041	41.3	2902	2840	2012/07/18	2013/06/09	Complete	Centre Bioengineering RAS	0	GCA_000279145.1
Thermoanaerobacterium saccharolyticum JW/SL-YS485	1094508	PRJNA73961	73961	Firmicutes	Clostridia	2.87935	35.0792	2931	2840	2012/06/01	2012/07/27	Complete	Oak Ridge National Laboratory	0	GCA_000307585.1
Clostridium acidurici 9a	1128398	PRJNA79221	79221	Firmicutes	Clostridia	3.10825	29.899	2960	2842	2012/09/27	2013/01/10	Complete	Georg-August-University Goettingen, Genomic and Applied Microbiology, Goettingen Genomics Laboratory	0	GCA_000299355.1
Lactobacillus casei str. Zhang	498216	PRJNA28537	28537	Firmicutes	Bacilli	2.89833	46.4194	2949	2847	2008/10/08	2010/10/21	Complete	The Key Laboratory of Dairy Biotechnology and Bioengineering, Education Ministry of P. R. China, Department of Food Science and Engineering, Inner Mongolia Agricultural University, China	0	GCA_000019245.2
Arcobacter sp. L	944547	PRJDA61721	61721	Proteobacteria	delta/epsilon subdivisions	2.94766	26.6135	2919	2848	2011/09/03	2012/06/15	Complete	Center for Computational and Quantitative Life Science, RIKEN	0	GCA_000284235.1
Methanosaeta concilii GP6	990316	PRJNA63185	63185	Euryarchaeota	Methanomicrobia	3.02664	50.9577	2927	2850	2011/04/15	2013/06/11	Complete	University of Wisconsin-Parkside	0	GCA_000204415.1
Thermomicrobium roseum DSM 5159	309801	PRJNA32569	32569	Chloroflexi	Thermomicrobia	2.92074	64.2598	2904	2854	2009/01/22	2012/01/23	Complete	J Craig Venter Institute	0	GCA_000021685.1
Thioalkalivibrio sp. K90mix	396595	PRJNA30759	30759	Proteobacteria	Gammaproteobacteria	2.98506	65.562	2943	2855	2010/02/17	2011/10/13	Complete	US DOE Joint Genome Institute (JGI-PGF)	0	GCA_000025545.1
Acetobacter pasteurianus 386B	1266844	PRJEB1172	214045	Proteobacteria	Alphaproteobacteria	3.06048	52.8369	2922	2856	2013/08/01	2013/08/01	Complete	Vrije Universiteit Brussel	0	0
Synechococcus sp. JA-2-3B'a(2-13)	321332	PRJNA16252	16252	Cyanobacteria	Oscillatoriophycideae	3.04668	58.5	2942	2862	2006/02/06	2013/05/23	Complete	TIGR	0	GCA_000013225.1
Rhodothermus marinus DSM 4252	518766	PRJNA29281	29281	Bacteroidetes/Chlorobi 	Bacteroidetes	3.38674	64.2672	2965	2863	2009/11/03	2013/06/10	Complete	US DOE Joint Genome Institute (JGI-PGF)	0	GCA_000024845.1
Corynebacterium halotolerans YIM 70093 = DSM 44683	1121362	PRJNA168616	168616	Actinobacteria	Actinobacteria	3.22201	68.2608	2930	2865	2013/02/20	2013/02/20	Complete	Bielefeld University	0	GCA_000341345.1
Alkalilimnicola ehrlichii MLHE-1	187272	PRJNA15763	15763	Proteobacteria	Gammaproteobacteria	3.27594	67.5	2940	2865	2006/09/12	2013/05/23	Complete	DOE Joint Genome Institute	0	GCA_000014785.1
Listeria monocytogenes SLCC5850	882096	PRJEA51861	51861	Firmicutes	Bacilli	2.90714	38	2950	2865	2012/09/10	2013/06/11	Complete	ERA-NET / Spatelis	0	GCA_000307045.1
Desulfobacca acetoxidans DSM 11109	880072	PRJNA51777	51777	Proteobacteria	delta/epsilon subdivisions	3.28254	52.9	3022	2866	2011/04/07	2013/06/11	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN00713603	GCA_000195295.1
Listeria monocytogenes ATCC 19117	882095	PRJEA51859	51859	Firmicutes	Bacilli	2.9518	38	2953	2868	2012/09/10	2013/06/09	Complete	ERA-NET / Spatelis	0	GCA_000307025.1
Staphylococcus aureus subsp. aureus Z172	1406863	PRJNA222409	222409	Firmicutes	Bacilli	3.0183	32.798	2948	2870	2013/10/29	2013/10/29	Complete	National Health Research Institutes	0	GCA_000485885.1
Mahella australiensis 50-1 BON	697281	PRJNA42243	42243	Firmicutes	Clostridia	3.13597	43.5	3032	2870	2011/05/12	2013/06/11	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN02232034	GCA_000213255.1
Fibrobacter succinogenes subsp. succinogenes S85	59374	PRJNA47	47	Fibrobacteres/Acidobacteria 	Fibrobacteres	3.843	48	3131	2871	2010/08/06	2013/06/08	Complete	TIGR	0	GCA_000146505.1
Brachyspira intermedia PWS/A	1045858	PRJNA68051	68051	Spirochaetes	Spirochaetia	3.30805	27.1939	2926	2872	2011/08/10	2012/06/16	Complete	National Veterinary Institute (SVA)	0	GCA_000223215.1
Flavobacterium branchiophilum FL-15	1034807	PRJNA67123	67123	Bacteroidetes/Chlorobi 	Bacteroidetes	3.56329	32.9006	3087	2872	2011/09/06	2012/10/18	Complete	Institut National de la Recherche Agronomique (INRA)	0	GCA_000253275.1
Listeria monocytogenes SLCC2378	879088	PRJEA51729	51729	Firmicutes	Bacilli	2.94136	38	2958	2874	2012/09/10	2013/06/09	Complete	ERA-NET / Spatelis	0	GCA_000307615.1
Clostridium perfringens ATCC 13124	195103	PRJNA304	304	Firmicutes	Clostridia	3.25668	28.4	3016	2876	2006/07/25	2013/05/23	Complete	TIGR	0	GCA_000013285.1
Ilyobacter polytropus DSM 2926	572544	PRJNA32577	32577	Fusobacteria	Fusobacteriia	3.13231	34.3553	3041	2880	2010/10/22	2013/06/10	Complete	US DOE Joint Genome Institute (JGI-PGF)	SRS117991	GCA_000165505.1
Leptospira borgpetersenii serovar Hardjo-bovis str. JB197	355277	PRJNA16148	16148	Spirochaetes	Spirochaetia	3.87623	40.2155	3242	2880	2006/10/13	2013/05/23	Complete	Monash University	0	GCA_000013965.1
Isoptericola variabilis 225	743718	PRJNA49657	49657	Actinobacteria	Actinobacteria	3.30774	73.9	3079	2881	2011/05/26	2013/06/11	Complete	US DOE Joint Genome Institute	SAMN00713634	GCA_000215105.1
Lactobacillus rhamnosus ATCC 8530	1088720	PRJNA73355	73355	Firmicutes	Bacilli	2.96034	46.8	2977	2886	2011/11/03	2013/06/08	Complete	University of Saskatchewan	0	GCA_000233755.1
Brucella ovis ATCC 25840	444178	PRJNA12514	12514	Proteobacteria	Alphaproteobacteria	3.27559	57.2	3197	2889	2007/05/30	2013/06/06	Complete	TIGR	0	GCA_000016845.1
Eubacterium rectale DSM 17629	39491	PRJNA39159	39159	Firmicutes	Clostridia	3.34495	41.6	2940	2892	2010/03/25	2013/06/11	Complete	MetaHIT	0	GCA_000209935.1
Synechococcus sp. CC9311	64471	PRJNA12530	12530	Cyanobacteria	Oscillatoriophycideae	2.60675	52.4	2944	2892	2006/09/01	2013/05/23	Complete	TIGR	0	GCA_000014585.1
Butyrivibrio fibrisolvens 16/4	831	PRJNA39147	39147	Firmicutes	Clostridia	3.16439	38.6	2954	2892	2010/03/25	2013/06/11	Complete	MetaHIT	0	GCA_000209815.1
Gallionella capsiferriformans ES-2	395494	PRJNA32827	32827	Proteobacteria	Betaproteobacteria	3.16247	52.8	3007	2894	2010/08/11	2013/06/08	Complete	US DOE Joint Genome Institute (JGI-PGF)	SRS003264	GCA_000145255.1
Sulfolobus islandicus Y.N.15.51	419942	PRJNA18651	18651	Crenarchaeota	Thermoprotei	2.85441	35.3118	3324	2900	2009/04/29	2011/09/30	Complete	US DOE Joint Genome Institute (JGI-PGF)	0	GCA_000022485.1
Sulfolobus islandicus Y.G.57.14	439386	PRJNA19487	19487	Crenarchaeota	Thermoprotei	2.70206	35.4	3082	2902	2009/04/29	2013/06/10	Complete	US DOE Joint Genome Institute	0	GCA_000022465.1
Natranaerobius thermophilus JW/NM-WN-LF	457570	PRJNA20207	20207	Firmicutes	Clostridia	3.19145	36.287	3024	2906	2008/04/09	2011/08/15	Complete	US DOE Joint Genome Institute (JGI-PGF)	0	GCA_000020005.1
Listeria monocytogenes SLCC2540	879089	PRJEA51731	51731	Firmicutes	Bacilli	2.97696	37.9	2992	2907	2012/09/10	2013/06/09	Complete	ERA-NET / Spatelis	0	GCA_000306905.1
Nitrosococcus watsonii C-113	105559	PRJNA40331	40331	Proteobacteria	Gammaproteobacteria	3.37329	50.1211	3245	2907	2010/06/25	2010/07/01	Complete	US DOE Joint Genome Institute	0	GCA_000143085.1
Methylovorus glucosetrophus SIP3-4	582744	PRJNA33241	33241	Proteobacteria	Betaproteobacteria	3.08201	54.6472	2978	2909	2009/07/15	2011/08/15	Complete	US DOE Joint Genome Institute	0	GCA_000023745.1
Listeria monocytogenes FSL R2-561	393126	PRJNA17317	17317	Firmicutes	Bacilli	2.9738	38	2995	2910	2011/09/13	2013/06/11	Complete	Broad Institute	0	GCA_000168575.2
Clostridium thermocellum DSM 1313	637887	PRJNA41553	41553	Firmicutes	Clostridia	3.56162	39.1	3102	2911	2011/01/04	2013/06/08	Complete	US DOE Joint Genome Institute	SAMN00713572	GCA_000184925.1
Lactobacillus rhamnosus GG	568703	PRJEA32195	32195	Firmicutes	Bacilli	3.01011	46.7	2985	2913	2009/09/02	2012/12/23	Complete	Institute of Biotechnology, University of Helsinki, Finland	0	GCA_000026505.1
Pelotomaculum thermopropionicum SI	370438	PRJDA19023	19023	Firmicutes	Clostridia	3.02537	53	2977	2919	2007/05/08	2013/06/06	Complete	Marine Biotechnology Institute Co., Ltd	0	GCA_000010565.1
Lactobacillus rhamnosus LOCK908	1318634	PRJNA196823	196823	Firmicutes	Bacilli	2.9909	46.8	2999	2924	2013/07/08	2013/07/12	Complete	IBB PAS	0	GCA_000418495.1
Listeria monocytogenes L99	565047	PRJEA31327	31327	Firmicutes	Bacilli	2.9792	38.2	2993	2925	2010/09/22	2013/06/08	Complete	Justus-Liebig-University Giessen	0	GCA_000209755.1
Legionella pneumophila subsp. pneumophila ATCC 43290	933093	PRJNA78169	78169	Proteobacteria	Gammaproteobacteria	3.359	38.2	2981	2926	2011/12/21	2013/06/11	Complete	Department of Microbiology - University of Chicago	0	GCA_000239175.1
Listeria monocytogenes serotype 7 str. SLCC2482	863767	PRJEA50371	50371	Firmicutes	Bacilli	2.98679	37.9581	3014	2929	2010/09/08	2013/06/09	Complete	ERA-NET / Spatelis	0	GCA_000210795.2
Enterococcus faecium Aus0004	1155766	PRJNA86649	86649	Firmicutes	Bacilli	3.01978	38.3424	2997	2932	2012/03/01	2012/06/27	Complete	University of Melbourne	0	GCA_000250945.1
Legionella pneumophila str. Lens	297245	PRJNA13126	13126	Proteobacteria	Gammaproteobacteria	3.40552	38.4	3058	2934	2004/10/03	2008/07/23	Complete	Institut Pasteur	0	GCA_000048665.1
Listeria monocytogenes SLCC2479	882020	PRJEA51829	51829	Firmicutes	Bacilli	2.97217	38	3018	2935	2012/09/10	2013/06/09	Complete	ERA-NET / Spatelis	0	GCA_000307005.1
Propionibacterium propionicum F0230a	767029	PRJNA49291	49291	Actinobacteria	Actinobacteria	3.44936	66.1	3175	2938	2012/07/12	2013/06/11	Complete	J. Craig Venter Institute	0	GCA_000277715.1
Listeria monocytogenes SLCC2755	863769	PRJEA50379	50379	Firmicutes	Bacilli	3.02393	38.0599	3025	2940	2010/09/08	2013/06/09	Complete	ERA-NET / Spatelis	0	GCA_000197755.2
Legionella pneumophila subsp. pneumophila str. Philadelphia 1	272624	PRJNA22	22	Proteobacteria	Gammaproteobacteria	3.39775	38.3	3003	2943	2001/10/15	2013/06/10	Complete	Columbia Genome Center	0	GCA_000008485.1
Truepera radiovictrix DSM 17093	649638	PRJNA38371	38371	Deinococcus-Thermus	Deinococci	3.2604	68.1	3046	2945	2010/05/28	2013/04/12	Complete	US DOE Joint Genome Institute (JGI-PGF)	0	GCA_000092425.1
Leptospira borgpetersenii serovar Hardjo-bovis str. L550	355276	PRJNA16146	16146	Spirochaetes	Spirochaetia	3.93178	40.2	3273	2945	2006/10/13	2013/06/10	Complete	Monash University	0	GCA_000013945.1
Lactobacillus plantarum JDM1	644042	PRJNA32969	32969	Firmicutes	Bacilli	3.19776	44.7	3028	2947	2009/07/17	2013/06/10	Complete	Shanghai Jiao Tong University School of Medicine	0	GCA_000023085.1
Sulfolobus islandicus L.D.8.5	425944	PRJNA18803	18803	Crenarchaeota	Thermoprotei	2.74865	35.3077	3162	2948	2010/01/22	2011/10/13	Complete	US DOE Joint Genome Institute	0	GCA_000024305.1
Thermincola potens JR	635013	PRJNA41467	41467	Firmicutes	Clostridia	3.15742	45.9	3082	2949	2010/05/13	2012/12/23	Complete	US DOE Joint Genome Institute	0	GCA_000092945.1
Listeria monocytogenes J0161	393130	PRJNA17493	17493	Firmicutes	Bacilli	3.00046	37.9	3045	2955	2011/09/07	2013/06/08	Complete	Broad Institute	0	GCA_000168635.2
Methylococcus capsulatus str. Bath	243233	PRJNA21	21	Proteobacteria	Gammaproteobacteria	3.30456	63.6	3052	2956	2001/06/25	2013/05/23	Complete	TIGR	0	GCA_000008325.1
Lactobacillus rhamnosus Lc 705	568704	PRJEA32197	32197	Firmicutes	Bacilli	3.03311	46.6319	3033	2957	2009/09/02	2012/12/23	Complete	Institute of Biotechnology, University of Helsinki, Finland	0	GCA_000026525.1
Denitrovibrio acetiphilus DSM 12809	522772	PRJNA29431	29431	Deferribacteres	Deferribacteres	3.22208	42.5	3068	2964	2010/03/11	2012/12/23	Complete	US DOE Joint Genome Institute (JGI-PGF)	0	GCA_000025725.1
Enterococcus faecalis D32	1206105	PRJNA169860	169860	Firmicutes	Bacilli	3.0625	37.4365	3046	2965	2012/07/24	2013/01/10	Complete	Robert Koch Institute	0	GCA_000281195.1
Listeria monocytogenes 08-5923	637381	PRJNA36363	36363	Firmicutes	Bacilli	2.99905	38	3039	2966	2010/01/20	2012/12/23	Complete	Public Health Agency of Canada	0	GCA_000022925.1
Lacinutrix sp. 5H-3-7-4	983544	PRJNA62899	62899	Bacteroidetes/Chlorobi 	Bacteroidetes	3.29617	30.8	3027	2967	2011/06/03	2013/06/11	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN00713635	GCA_000211855.3
Bacillus coagulans 2-6	941639	PRJNA61501	61501	Firmicutes	Bacilli	3.07308	47.3	3052	2971	2011/06/10	2013/06/27	Complete	Shanghai Jiao Tonny University	0	GCA_000217835.1
Coprococcus catus GD/7	717962	PRJEA45861	45861	Firmicutes	Clostridia	3.5227	43.2	3027	2972	2010/03/25	2013/06/11	Complete	metaHIT	0	GCA_000210555.1
Listeria monocytogenes HCC23	552536	PRJNA29409	29409	Firmicutes	Bacilli	2.97621	38.2	3059	2974	2008/12/12	2012/12/23	Complete	College of Veterinary Medicine, Mississippi State University	0	GCA_000021185.1
Acinetobacter baumannii SDF	509170	PRJNA13001	13001	Proteobacteria	Gammaproteobacteria	3.478	39.1264	3664	2975	2008/02/26	2013/04/01	Complete	Genoscope	0	GCA_000069205.1
Listeria monocytogenes M7	1030009	PRJNA66625	66625	Firmicutes	Bacilli	2.97616	38.2	3062	2977	2011/06/14	2013/06/11	Complete	Zhejiang University	0	GCA_000218305.1
Sulfolobus solfataricus P2	273057	PRJNA108	108	Crenarchaeota	Thermoprotei	2.99225	35.8	3034	2978	2001/10/03	2013/06/10	Complete	European/Canadian Consortium	0	GCA_000007005.1
Dehalobacter sp. DCA	1147129	PRJNA83115	83115	Firmicutes	Clostridia	3.06995	44.6	3038	2978	2012/10/16	2013/06/09	Complete	University of Toronto	0	GCA_000305775.1
Krokinobacter sp. 4H-3-7-5	983548	PRJNA62895	62895	Bacteroidetes/Chlorobi 	Bacteroidetes	3.38999	37.3	3049	2978	2011/05/05	2013/06/11	Complete	US DOE Joint Genome Institute	SAMN00713609	GCA_000212355.1
Dehalobacter sp. CF	1131462	PRJNA80805	80805	Firmicutes	Clostridia	3.09205	44.3	3040	2980	2012/10/16	2013/06/09	Complete	University of Toronto	0	GCA_000305815.1
Sideroxydans lithotrophicus ES-1	580332	PRJNA33161	33161	Proteobacteria	Betaproteobacteria	3.00366	57.5	3050	2980	2010/03/26	2012/12/23	Complete	US DOE Joint Genome Institute (JGI-PGF)	0	GCA_000025705.1
Nitrosomonas sp. AL212	153948	PRJNA32989	32989	Proteobacteria	Betaproteobacteria	3.33702	44.7559	3239	2983	2011/03/09	2013/06/10	Complete	US DOE Joint Genome Institute (JGI-PGF)	SRS003211	GCA_000175095.2
Acetobacter pasteurianus IFO 3283-01-42C	634458	PRJDA31141	31141	Proteobacteria	Alphaproteobacteria	3.24799	53.1587	3050	2984	2009/08/27	2012/06/18	Complete	Acetobacter pasteurianus genome sequencing consortium	0	GCA_000010945.1
Listeria monocytogenes J1-220	930782	PRJNA60537	60537	Firmicutes	Bacilli	3.03227	37.9	3083	2985	2013/07/16	2013/07/25	Complete	FDA	SAMN01813900	GCA_000195435.3
Listeria monocytogenes SLCC2372	863768	PRJEA50377	50377	Firmicutes	Bacilli	3.02291	37.9586	3075	2990	2010/09/08	2013/06/09	Complete	ERA-NET / Spatelis	0	GCA_000210815.2
Corynebacterium glutamicum K051	196627	PRJNA157367	157367	Actinobacteria	Actinobacteria	3.3094	53.8	2992	2992	2012/04/20	2013/06/10	Complete	Forschungszentrum Juelich GmbH	0	GCA_000382905.1
butyrate-producing bacterium SS3/4	245014	PRJNA39155	39155	Firmicutes	Clostridia	3.60102	48.2	3051	2993	2010/03/25	2010/07/05	Complete	MetaHIT	0	GCA_000209895.1
Corynebacterium glutamicum ATCC 13032	196627	PRJNA307	307	Actinobacteria	Actinobacteria	3.3094	53.8	3073	2993	2001/03/12	2013/07/22	Complete	Kitasato Univ.	0	GCA_000011325.1
Corynebacterium efficiens YS-314	196164	PRJNA305	305	Actinobacteria	Actinobacteria	3.2195	62.9346	3064	2994	2002/10/01	2011/02/14	Complete	NITE	0	GCA_000011305.1
Clostridium botulinum BKT015925	929506	PRJNA60407	60407	Firmicutes	Clostridia	3.20759	28.2433	3116	2994	2011/04/18	2013/06/11	Complete	National Veterinary Institute (SVA), Sweden	0	GCA_000204565.1
Lactobacillus casei BL23	543734	PRJEA30359	30359	Firmicutes	Bacilli	3.0792	46.3	3072	2997	2008/06/19	2013/06/10	Complete	Centre National de la Recherche Scientifique (C.N.R.S)	0	GCA_000026485.1
Prochlorococcus marinus str. MIT 9303	59922	PRJNA13496	13496	Cyanobacteria	Prochlorales	2.68268	50	3136	2997	2007/01/22	2013/06/06	Complete	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	0	GCA_000015705.1
Legionella pneumophila subsp. pneumophila str. Thunder Bay	1199191	PRJNA168333	168333	Proteobacteria	Gammaproteobacteria	3.45517	38.2	3043	2998	2013/06/03	2013/07/05	Complete	Public Health Ontario	0	GCA_000404245.1
Halorhabdus utahensis DSM 12940	519442	PRJNA29305	29305	Euryarchaeota	Halobacteria	3.1168	62.9	3078	2998	2009/08/27	2012/01/27	Complete	US DOE Joint Genome Institute (JGI-PGF)	0	GCA_000023945.1
Heliobacterium modesticaldum Ice1	498761	PRJNA13427	13427	Firmicutes	Clostridia	3.07541	57	3137	2999	2008/02/11	2012/12/23	Complete	Arizona State University	0	GCA_000019165.1
Brucella abortus S19	430066	PRJNA18999	18999	Proteobacteria	Alphaproteobacteria	3.28394	57.2354	3133	3000	2008/05/22	2013/06/10	Complete	Virginia Bioinformatics Institute	0	GCA_000018725.1
Tannerella forsythia ATCC 43037	203275	PRJNA319	319	Bacteroidetes/Chlorobi 	Bacteroidetes	3.40552	47	3207	3001	2011/12/15	2013/06/11	Complete	TIGR	0	GCA_000238215.1
Methanocella paludicola SANAE	304371	PRJDA20361	20361	Euryarchaeota	Methanomicrobia	2.95763	54.9	3064	3004	2009/12/26	2011/10/13	Complete	NITE	0	GCA_000011005.1
Segniliparus rotundus DSM 44985	640132	PRJNA37711	37711	Actinobacteria	Actinobacteria	3.15753	66.8	3127	3006	2010/05/18	2012/12/23	Complete	US DOE Joint Genome Institute (JGI-PGF)	0	GCA_000092825.1
Erythrobacter litoralis HTCC2594	314225	PRJNA13480	13480	Proteobacteria	Alphaproteobacteria	3.0524	63.1	3059	3011	2006/01/11	2013/05/23	Complete	The Gordon and Betty Moore Foundation Marine Microbiology Initiative	0	GCA_000013005.1
Salinarchaeum sp. Harcht-Bsk1	1333523	PRJNA202311	202311	Euryarchaeota	Halobacteria	3.25526	66.6	3061	3013	2013/05/30	2013/07/12	Complete	Baltic Federal University	0	GCA_000403645.1
Meiothermus ruber DSM 1279	504728	PRJNA28827	28827	Deinococcus-Thermus	Deinococci	3.09746	63.4	3105	3014	2010/03/03	2012/12/23	Complete	US DOE Joint Genome Institute (JGI-PGF)	0	GCA_000024425.1
Exiguobacterium sibiricum 255-15	262543	PRJNA10649	10649	Firmicutes	Bacilli	3.04079	47.6793	3155	3015	2008/04/03	2008/04/05	Complete	US DOE Joint Genome Institute	0	GCA_000019905.1
Sphaerochaeta globosa str. Buddy	158189	PRJNA47953	47953	Spirochaetes	Spirochaetia	3.31647	48.9	3122	3017	2011/02/24	2013/06/10	Complete	US DOE Joint Genome Institute	SAMN00713587	GCA_000190435.1
Nitrosococcus oceani ATCC 19707	323261	PRJNA13993	13993	Proteobacteria	Gammaproteobacteria	3.52211	50.3241	3185	3017	2005/10/04	2010/03/05	Complete	DOE Joint Genome Institute	0	GCA_000012805.1
Paludibacter propionicigenes WB4	694427	PRJNA42009	42009	Bacteroidetes/Chlorobi 	Bacteroidetes	3.6855	38.9	3118	3020	2010/11/23	2013/06/10	Complete	US DOE Joint Genome Institute (JGI-PGF)	SRS084709	GCA_000183135.1
Exiguobacterium sp. AT1b	360911	PRJNA27759	27759	Firmicutes	Bacilli	2.99989	48.5	3141	3020	2009/05/05	2012/02/14	Complete	US DOE Joint Genome Institute (JGI-PGF)	0	GCA_000023045.1
Methylophaga sp. JAM1	754476	PRJNA84457	84457	Proteobacteria	Gammaproteobacteria	3.13719	44.7	3096	3022	2012/05/03	2013/06/08	Complete	INRS-Institut Armand-Frappier	0	GCA_000260985.1
